TIMESTAMP,DD,HH,MM,SS,MS,US,CODE
242206581193916,28,0,47,45,811,939,0x0301
242206681321789,28,0,47,46,813,217,0x0401
242206681316360,28,0,47,46,813,163,0x0301
242206690747731,28,0,47,46,907,477,0x0102
242211242362489,28,0,48,32,423,624,0x0401
242211254303735,28,0,48,32,543,37,0x0401
242217736558949,28,0,49,37,365,589,0x0401
242221631366498,28,0,50,16,313,664,0x0401
242221643487989,28,0,50,16,434,879,0x0401
242254138891728,28,0,55,41,388,917,0x0401
242264678834246,28,0,57,26,788,342,0x0401
242264691141079,28,0,57,26,911,410,0x0401
242272140052704,28,0,58,41,400,527,0x0401
242307448304338,28,1,4,34,483,43,0x0401
242307461016085,28,1,4,34,610,160,0x0401
242313742785781,28,1,5,37,427,857,0x0401
242316708736439,28,1,6,7,87,364,0x0401
242316721515452,28,1,6,7,215,154,0x0401
242328417925516,28,1,8,4,179,255,0x0301
242328417944812,28,1,8,4,179,448,0x0301
242328518127364,28,1,8,5,181,273,0x0401
242328527553253,28,1,8,5,275,532,0x0102
242333070280410,28,1,8,50,702,804,0x0401
242333082263739,28,1,8,50,822,637,0x0401
242422609921043,28,1,23,46,99,210,0x0401
242440171233257,28,1,26,41,712,332,0x0401
242440183806026,28,1,26,41,838,60,0x0401
243432576714681,28,4,12,5,767,146,0x0401
243435311685453,28,4,12,33,116,854,0x0401
243435323907634,28,4,12,33,239,76,0x0401
243449277846493,28,4,14,52,778,464,0x0401
243452776814684,28,4,15,27,768,146,0x0401
243452789058504,28,4,15,27,890,585,0x0401
244631856254480,28,7,31,58,562,544,0x0401
244635071962640,28,7,32,30,719,626,0x0103
244635081388849,28,7,32,30,813,888,0x0102
244645979057452,28,7,34,19,790,574,0x0401
244645991097817,28,7,34,19,910,978,0x0401
244666152414700,28,7,37,41,524,147,0x0401
244668455229999,28,7,38,4,552,299,0x0401
244668467571209,28,7,38,4,675,712,0x0401
244795655978045,28,7,59,16,559,780,0x0301
244795759897466,28,7,59,17,598,974,0x0401
244806960375426,28,8,1,9,603,754,0x0401
244806967641985,28,8,1,9,676,419,0x0401
244806979597559,28,8,1,9,795,975,0x0401
244808846698401,28,8,1,28,466,984,0x0301
244808848388526,28,8,1,28,483,885,0x0401
244822665524724,28,8,3,46,655,247,0x0301
244822665541917,28,8,3,46,655,419,0x0301
244823181018429,28,8,3,51,810,184,0x0102
244826251398691,28,8,4,22,513,986,0x0401
244826263300727,28,8,4,22,633,7,0x0401
244833041923782,28,8,5,30,419,237,0x0401
244848726797646,28,8,8,7,267,976,0x0401
244848739013200,28,8,8,7,390,132,0x0401
250043287707726,28,22,33,52,877,77,0x0401
250051433632253,28,22,35,14,336,322,0x0401
250051445746421,28,22,35,14,457,464,0x0401
250060788896628,28,22,36,47,888,966,0x0401
250066076203885,28,22,37,40,762,38,0x0301
250066076221294,28,22,37,40,762,212,0x0301
250066176838282,28,22,37,41,768,382,0x0401
250066402442266,28,22,37,44,24,422,0x0301
250066591739916,28,22,37,45,917,399,0x0102
250070853722218,28,22,38,28,537,222,0x0401
250070865637210,28,22,38,28,656,372,0x0401
250111904053854,28,22,45,19,40,538,0x0401
250129517114345,28,22,48,15,171,143,0x0401
250129529034249,28,22,48,15,290,342,0x0401
250130215545474,28,22,48,22,155,454,0x0301
250130215560702,28,22,48,22,155,607,0x0301
250130218327551,28,22,48,22,183,275,0x0401
250131192099357,28,22,48,31,920,993,0x0301
250131201525562,28,22,48,32,15,255,0x0102
250135682146648,28,22,49,16,821,466,0x0401
250135694110892,28,22,49,16,941,108,0x0401
253744360461737,29,8,50,43,604,617,0x0401
255653470491933,29,14,8,54,704,919,0x0401
255653482660373,29,14,8,54,826,603,0x0401
